"county","estimated_population","dt_admin","total_partial_vaccinated","cumulative_fully_vaccinated","cumulative_at_least_one_dose","cumulative_unvaccinated","suppress_data","cumulative_up_to_date_vax","race_eth","age_category","sex","quarter"
"ButteCounty",12002,2022-12-31,261,261,522,11480,FALSE,10,"NA","0-17",NA,2022.4
"ButteCounty",12002,2023-03-31,214,341,555,11447,FALSE,78,"NA","0-17",NA,2023.1
"ButteCounty",12002,2023-06-30,213,356,569,11433,FALSE,101,"NA","0-17",NA,2023.2
"ButteCounty",12002,2023-08-26,210,368,578,11424,FALSE,113,"NA","0-17",NA,2023.3
"ButteCounty",16811,2022-03-31,524,6267,6795,10016,FALSE,2,"NA","0-17",NA,2022.1
"ButteCounty",16811,2022-06-30,498,6365,6867,9944,FALSE,3,"NA","0-17",NA,2022.2
"ButteCounty",16811,2022-09-30,510,6431,6945,9866,FALSE,100,"NA","0-17",NA,2022.3
"ButteCounty",16811,2022-12-31,522,6457,6983,9828,FALSE,544,"NA","0-17",NA,2022.4
"ButteCounty",16811,2023-03-31,526,6471,7001,9810,FALSE,631,"NA","0-17",NA,2023.1
"ButteCounty",16811,2023-06-30,532,6471,7007,9804,FALSE,669,"NA","0-17",NA,2023.2
"ButteCounty",16811,2023-08-26,538,6471,7013,9798,FALSE,692,"NA","0-17",NA,2023.3
"ButteCounty",17159,2022-03-31,376,2807,3183,13976,FALSE,0,"NA","0-17",NA,2022.1
"ButteCounty",17159,2022-06-30,332,3027,3359,13800,FALSE,0,"NA","0-17",NA,2022.2
"ButteCounty",17159,2022-09-30,341,3178,3519,13640,FALSE,0,"NA","0-17",NA,2022.3
"ButteCounty",17159,2022-12-31,352,3237,3589,13570,FALSE,290,"NA","0-17",NA,2022.4
"ButteCounty",17159,2023-03-31,347,3272,3619,13540,FALSE,390,"NA","0-17",NA,2023.1
"ButteCounty",17159,2023-06-30,355,3276,3631,13528,FALSE,421,"NA","0-17",NA,2023.2
"ButteCounty",17159,2023-08-26,358,3276,3634,13525,FALSE,435,"NA","0-17",NA,2023.3
"ButteCounty",33746,2022-03-31,1777,24993,26770,6976,FALSE,1,"NA","50-64",NA,2022.1
"ButteCounty",33746,2022-06-30,1774,25154,26928,6818,FALSE,1,"NA","50-64",NA,2022.2
"ButteCounty",33746,2022-09-30,1816,25247,27063,6683,FALSE,1160,"NA","50-64",NA,2022.3
"ButteCounty",33746,2022-12-31,1944,25272,27216,6530,FALSE,5570,"NA","50-64",NA,2022.4
"ButteCounty",33746,2023-03-31,1966,25281,27247,6499,FALSE,6328,"NA","50-64",NA,2023.1
"ButteCounty",33746,2023-06-30,1978,25281,27259,6487,FALSE,6583,"NA","50-64",NA,2023.2
"ButteCounty",33746,2023-08-26,1981,25281,27262,6484,FALSE,6688,"NA","50-64",NA,2023.3
"ButteCounty",43181,2022-03-31,2368,32698,35066,8115,FALSE,0,"NA","65+",NA,2022.1
"ButteCounty",43181,2022-06-30,2352,32940,35292,7889,FALSE,0,"NA","65+",NA,2022.2
"ButteCounty",43181,2022-09-30,2478,33038,35516,7665,FALSE,2637,"NA","65+",NA,2022.3
"ButteCounty",43181,2022-12-31,2952,33045,35997,7184,FALSE,11534,"NA","65+",NA,2022.4
"ButteCounty",43181,2023-03-31,3057,33051,36108,7073,FALSE,12686,"NA","65+",NA,2023.1
"ButteCounty",43181,2023-06-30,3097,33052,36149,7032,FALSE,14254,"NA","65+",NA,2023.2
"ButteCounty",43181,2023-08-26,3110,33052,36162,7019,FALSE,14702,"NA","65+",NA,2023.3
"ButteCounty",104011,2022-03-31,4648,49736,54385,49626,FALSE,5,"NA","18-49",NA,2022.1
"ButteCounty",104011,2022-06-30,4687,50201,54889,49122,FALSE,6,"NA","18-49",NA,2022.2
"ButteCounty",104011,2022-09-30,4817,50518,55336,48675,FALSE,1308,"NA","18-49",NA,2022.3
"ButteCounty",104011,2022-12-31,5024,50685,55710,48301,FALSE,5852,"NA","18-49",NA,2022.4
"ButteCounty",104011,2023-03-31,5107,50764,55872,48139,FALSE,6785,"NA","18-49",NA,2023.1
"ButteCounty",104011,2023-06-30,5159,50775,55935,48076,FALSE,7146,"NA","18-49",NA,2023.2
"ButteCounty",104011,2023-08-26,5195,50775,55971,48040,FALSE,7320,"NA","18-49",NA,2023.3
"CalaverasCounty",1968,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"CalaverasCounty",1968,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"CalaverasCounty",1968,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"CalaverasCounty",1968,2022-12-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.4
"CalaverasCounty",1968,2023-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2023.1
"CalaverasCounty",1968,2023-06-30,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2023.2
"CalaverasCounty",1968,2023-08-26,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2023.3
"CalaverasCounty",2460,2022-03-31,76,269,345,2115,FALSE,0,"NA","0-17",NA,2022.1
"CalaverasCounty",2460,2022-06-30,83,290,373,2087,FALSE,0,"NA","0-17",NA,2022.2
"CalaverasCounty",2460,2022-09-30,78,308,386,2074,FALSE,2,"NA","0-17",NA,2022.3
"CalaverasCounty",2460,2022-12-31,82,312,394,2066,FALSE,21,"NA","0-17",NA,2022.4
"CalaverasCounty",2460,2023-03-31,81,313,394,2066,FALSE,23,"NA","0-17",NA,2023.1
"CalaverasCounty",2460,2023-06-30,81,313,394,2066,FALSE,23,"NA","0-17",NA,2023.2
"CalaverasCounty",2460,2023-08-26,81,313,394,2066,FALSE,23,"NA","0-17",NA,2023.3
"CalaverasCounty",2599,2022-03-31,100,868,968,1631,FALSE,0,"NA","0-17",NA,2022.1
"CalaverasCounty",2599,2022-06-30,86,901,987,1612,FALSE,1,"NA","0-17",NA,2022.2
"CalaverasCounty",2599,2022-09-30,84,910,994,1605,FALSE,7,"NA","0-17",NA,2022.3
"CalaverasCounty",2599,2022-12-31,86,913,999,1600,FALSE,68,"NA","0-17",NA,2022.4
"CalaverasCounty",2599,2023-03-31,87,915,1002,1597,FALSE,80,"NA","0-17",NA,2023.1
"CalaverasCounty",2599,2023-06-30,88,915,1003,1596,FALSE,84,"NA","0-17",NA,2023.2
"CalaverasCounty",2599,2023-08-26,88,915,1003,1596,FALSE,84,"NA","0-17",NA,2023.3
"CalaverasCounty",9488,2022-03-31,414,6352,6766,2722,FALSE,2,"NA","50-64",NA,2022.1
"CalaverasCounty",9488,2022-06-30,405,6404,6809,2679,FALSE,2,"NA","50-64",NA,2022.2
"CalaverasCounty",9488,2022-09-30,409,6426,6835,2653,FALSE,290,"NA","50-64",NA,2022.3
"CalaverasCounty",9488,2022-12-31,436,6429,6865,2623,FALSE,1417,"NA","50-64",NA,2022.4
"CalaverasCounty",9488,2023-03-31,445,6430,6875,2613,FALSE,1585,"NA","50-64",NA,2023.1
"CalaverasCounty",9488,2023-06-30,446,6430,6876,2612,FALSE,1634,"NA","50-64",NA,2023.2
"CalaverasCounty",9488,2023-08-26,447,6430,6877,2611,FALSE,1654,"NA","50-64",NA,2023.3
"CalaverasCounty",13612,2022-03-31,636,6466,7102,6510,FALSE,0,"NA","18-49",NA,2022.1
"CalaverasCounty",13612,2022-06-30,635,6538,7173,6439,FALSE,0,"NA","18-49",NA,2022.2
"CalaverasCounty",13612,2022-09-30,661,6580,7241,6371,FALSE,159,"NA","18-49",NA,2022.3
"CalaverasCounty",13612,2022-12-31,676,6594,7270,6342,FALSE,632,"NA","18-49",NA,2022.4
"CalaverasCounty",13612,2023-03-31,681,6603,7284,6328,FALSE,736,"NA","18-49",NA,2023.1
"CalaverasCounty",13612,2023-06-30,692,6608,7300,6312,FALSE,786,"NA","18-49",NA,2023.2
"CalaverasCounty",13612,2023-08-26,696,6608,7304,6308,FALSE,802,"NA","18-49",NA,2023.3
"CalaverasCounty",14026,2022-03-31,611,10220,10831,3195,FALSE,2,"NA","65+",NA,2022.1
"CalaverasCounty",14026,2022-06-30,582,10325,10907,3119,FALSE,3,"NA","65+",NA,2022.2
"CalaverasCounty",14026,2022-09-30,583,10359,10942,3084,FALSE,893,"NA","65+",NA,2022.3
"CalaverasCounty",14026,2022-12-31,649,10360,11009,3017,FALSE,3825,"NA","65+",NA,2022.4
"CalaverasCounty",14026,2023-03-31,651,10360,11011,3015,FALSE,4103,"NA","65+",NA,2023.1
"CalaverasCounty",14026,2023-06-30,658,10360,11018,3008,FALSE,4503,"NA","65+",NA,2023.2
"CalaverasCounty",14026,2023-08-26,658,10360,11018,3008,FALSE,4633,"NA","65+",NA,2023.3
"ColusaCounty",1421,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"ColusaCounty",1421,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"ColusaCounty",1421,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"ColusaCounty",1421,2022-12-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.4
"ColusaCounty",1421,2023-03-31,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2023.1
"ColusaCounty",1421,2023-06-30,NA,NA,NA,NA,TRUE,2,"NA","0-17",NA,2023.2
"ColusaCounty",1421,2023-08-26,NA,NA,NA,NA,TRUE,2,"NA","0-17",NA,2023.3
"ColusaCounty",2195,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"ColusaCounty",2195,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"ColusaCounty",2195,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"ColusaCounty",2195,2022-12-31,NA,NA,NA,NA,TRUE,9,"NA","0-17",NA,2022.4
"ColusaCounty",2195,2023-03-31,NA,NA,NA,NA,TRUE,9,"NA","0-17",NA,2023.1
"ColusaCounty",2195,2023-06-30,NA,NA,NA,NA,TRUE,12,"NA","0-17",NA,2023.2
"ColusaCounty",2195,2023-08-26,NA,NA,NA,NA,TRUE,12,"NA","0-17",NA,2023.3
"ColusaCounty",2265,2022-03-31,125,939,1064,1201,FALSE,0,"NA","0-17",NA,2022.1
"ColusaCounty",2265,2022-06-30,120,968,1089,1176,FALSE,0,"NA","0-17",NA,2022.2
"ColusaCounty",2265,2022-09-30,122,976,1099,1166,FALSE,4,"NA","0-17",NA,2022.3
"ColusaCounty",2265,2022-12-31,121,980,1102,1163,FALSE,24,"NA","0-17",NA,2022.4
"ColusaCounty",2265,2023-03-31,123,980,1104,1161,FALSE,30,"NA","0-17",NA,2023.1
"ColusaCounty",2265,2023-06-30,125,980,1106,1159,FALSE,34,"NA","0-17",NA,2023.2
"ColusaCounty",2265,2023-08-26,126,980,1107,1158,FALSE,36,"NA","0-17",NA,2023.3
"ColusaCounty",3626,2022-03-31,174,2784,2958,668,FALSE,0,"NA","65+",NA,2022.1
"ColusaCounty",3626,2022-06-30,170,2800,2970,656,FALSE,0,"NA","65+",NA,2022.2
"ColusaCounty",3626,2022-09-30,180,2803,2983,643,FALSE,153,"NA","65+",NA,2022.3
"ColusaCounty",3626,2022-12-31,198,2806,3004,622,FALSE,749,"NA","65+",NA,2022.4
"ColusaCounty",3626,2023-03-31,203,2807,3010,616,FALSE,837,"NA","65+",NA,2023.1
"ColusaCounty",3626,2023-06-30,202,2808,3010,616,FALSE,875,"NA","65+",NA,2023.2
"ColusaCounty",3626,2023-08-26,204,2808,3012,614,FALSE,909,"NA","65+",NA,2023.3
"ColusaCounty",3824,2022-03-31,226,2951,3177,647,FALSE,0,"NA","50-64",NA,2022.1
"ColusaCounty",3824,2022-06-30,226,2972,3198,626,FALSE,0,"NA","50-64",NA,2022.2
"ColusaCounty",3824,2022-09-30,230,2976,3206,618,FALSE,75,"NA","50-64",NA,2022.3
"ColusaCounty",3824,2022-12-31,246,2982,3228,596,FALSE,378,"NA","50-64",NA,2022.4
"ColusaCounty",3824,2023-03-31,253,2982,3235,589,FALSE,434,"NA","50-64",NA,2023.1
"ColusaCounty",3824,2023-06-30,253,2982,3235,589,FALSE,447,"NA","50-64",NA,2023.2
"ColusaCounty",3824,2023-08-26,253,2982,3235,589,FALSE,450,"NA","50-64",NA,2023.3
"ColusaCounty",9455,2022-03-31,570,6027,6597,2858,FALSE,1,"NA","18-49",NA,2022.1
"ColusaCounty",9455,2022-06-30,566,6085,6651,2804,FALSE,1,"NA","18-49",NA,2022.2
"ColusaCounty",9455,2022-09-30,584,6119,6703,2752,FALSE,51,"NA","18-49",NA,2022.3
"ColusaCounty",9455,2022-12-31,594,6135,6729,2726,FALSE,314,"NA","18-49",NA,2022.4
"ColusaCounty",9455,2023-03-31,604,6145,6749,2706,FALSE,379,"NA","18-49",NA,2023.1
"ColusaCounty",9455,2023-06-30,608,6145,6753,2702,FALSE,398,"NA","18-49",NA,2023.2
"ColusaCounty",9455,2023-08-26,610,6145,6755,2700,FALSE,412,"NA","18-49",NA,2023.3
"Contra CostaCounty",59521,2022-03-31,26,15,47,59474,FALSE,0,"NA","0-17",NA,2022.1
"Contra CostaCounty",59521,2022-06-30,3473,20,3499,56022,FALSE,0,"NA","0-17",NA,2022.2
